epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.472,1.02748,1.46673,1.03754,0.68428,0.61785,0.68209,0.47214,1.15126,1.30159,1.13183,0.000666343,0.000666343,0.000666343
2,455.858,1.12537,1.42143,1.08857,0.71226,0.66505,0.73762,0.54302,1.09242,1.16687,1.09393,0.00128902,0.00128902,0.00128902
3,686.575,1.11779,1.35848,1.08384,0.71598,0.68041,0.74041,0.55333,0.96239,1.09291,1.00855,0.0018677,0.0018677,0.0018677
4,916.423,1.01838,1.25155,1.02837,0.81421,0.74248,0.83516,0.64118,0.87219,0.92084,0.9819,0.001802,0.001802,0.001802
5,1146.78,0.99805,1.1656,1.03098,0.78808,0.7066,0.79878,0.61032,0.91177,0.98559,0.9826,0.001736,0.001736,0.001736
6,1373.45,0.92122,1.0515,1.00182,0.81188,0.71678,0.81025,0.64146,0.8697,1.12263,0.99449,0.00167,0.00167,0.00167
7,1650.89,0.90314,1.05716,0.99838,0.8226,0.76684,0.8562,0.6732,0.81487,0.83366,0.96742,0.001604,0.001604,0.001604
8,1886.82,0.87479,0.95461,0.98321,0.84927,0.78516,0.87131,0.68985,0.82964,0.76239,0.95184,0.001538,0.001538,0.001538
9,2117.77,0.85292,0.92388,0.97718,0.83231,0.81183,0.87741,0.69415,0.80177,0.76529,0.93589,0.001472,0.001472,0.001472
10,2347.67,0.82088,0.86165,0.96211,0.84111,0.78556,0.87078,0.69179,0.79072,0.74075,0.94086,0.001406,0.001406,0.001406
11,2577.26,0.82753,0.86219,0.96064,0.87343,0.8065,0.89216,0.72701,0.71006,0.66483,0.91723,0.00134,0.00134,0.00134
12,2885.71,0.80939,0.82761,0.95392,0.8855,0.81761,0.90824,0.73925,0.71682,0.64133,0.91666,0.001274,0.001274,0.001274
13,3115.55,0.75822,0.77661,0.93774,0.86331,0.85548,0.91791,0.75412,0.68519,0.59982,0.90661,0.001208,0.001208,0.001208
14,3348.71,0.74396,0.75959,0.93739,0.88617,0.82105,0.91636,0.765,0.65445,0.59124,0.90399,0.001142,0.001142,0.001142
15,3578.7,0.72421,0.7407,0.91885,0.88823,0.84142,0.92149,0.77787,0.62708,0.56752,0.89297,0.001076,0.001076,0.001076
16,3815.34,0.75443,0.72243,0.93291,0.89997,0.84384,0.92927,0.77095,0.65141,0.576,0.89775,0.00101,0.00101,0.00101
17,4050.44,0.69185,0.68664,0.91292,0.8918,0.87143,0.93423,0.80589,0.59413,0.53088,0.88073,0.000944,0.000944,0.000944
18,4287.96,0.67927,0.65456,0.91058,0.91296,0.8453,0.92781,0.78717,0.60665,0.54728,0.87502,0.000878,0.000878,0.000878
19,4521.89,0.67857,0.64916,0.90874,0.91788,0.87268,0.94618,0.81621,0.56738,0.47598,0.87515,0.000812,0.000812,0.000812
20,4752.85,0.66561,0.62189,0.90095,0.88861,0.88979,0.94359,0.81592,0.56728,0.47854,0.86855,0.000746,0.000746,0.000746
21,5005.71,0.64893,0.558,0.89225,0.92091,0.85831,0.93595,0.81044,0.57044,0.4872,0.86946,0.00068,0.00068,0.00068
22,5233.16,0.64202,0.53471,0.8929,0.90779,0.87973,0.93904,0.81108,0.56559,0.46951,0.8668,0.000614,0.000614,0.000614
23,5509.26,0.62694,0.51288,0.89006,0.90952,0.88725,0.94497,0.81825,0.55296,0.4487,0.86242,0.000548,0.000548,0.000548
24,5749.12,0.61334,0.50244,0.87776,0.928,0.86469,0.94874,0.83121,0.53744,0.4426,0.85843,0.000482,0.000482,0.000482
25,5980.53,0.59165,0.48395,0.86788,0.9215,0.90515,0.95652,0.84087,0.52286,0.41301,0.85339,0.000416,0.000416,0.000416
26,6211.21,0.58041,0.44345,0.86751,0.9341,0.88991,0.95474,0.84178,0.526,0.41207,0.85154,0.00035,0.00035,0.00035
27,6440.5,0.56808,0.44952,0.8643,0.92415,0.89961,0.95555,0.84668,0.49955,0.40008,0.84788,0.000284,0.000284,0.000284
28,6710.43,0.54786,0.4185,0.8558,0.9315,0.90345,0.9602,0.8545,0.49656,0.37501,0.84489,0.000218,0.000218,0.000218
29,6946.43,0.53967,0.41284,0.8523,0.93632,0.90553,0.95927,0.85841,0.48286,0.3745,0.84147,0.000152,0.000152,0.000152
30,7178.57,0.52419,0.38889,0.85008,0.93296,0.91222,0.96039,0.8606,0.47327,0.3641,0.84025,8.6e-05,8.6e-05,8.6e-05
